不	26166
一	12667
可	9839
人	9425
无	9412
心	8681
天	7591
风	6853
义	6364
主	5993
千	5715
之	5557
生	5308
下	5188
动	5059
言	4385
大	4141
里	4049
学	3689
子	3638
自	3456
日	3433
世	3323
运	3217
地	3161
相	2998
行	2992
山	2936
有	2895
，	2879
文	2871
金	2860
物	2840
国	2795
时	2762
流	2761
会	2743
中	2733
经	2717
万	2679
如	2648
三	2612
然	2584
为	2449
头	2413
神	2299
目	2293
同	2208
名	2203
气	2199
路	2145
水	2041
月	2016
民	2012
得	2007
事	1997
成	1985
意	1953
进	1951
口	1891
分	1862
云	1836
济	1828
铁	1792
面	1791
力	1787
门	1771
社	1741
马	1729
家	1699
公	1690
出	1684
而	1680
理	1675
退	1669
上	1654
死	1641
化	1628
明	1599
声	1581
胜	1579
安	1577
情	1554
道	1534
百	1526
古	1514
雨	1513
产	1504
知	1501
高	1483
电	1482
花	1469
机	1466
容	1448
白	1405
衣	1402
手	1385
平	1376
海	1352
先	1350
失	1344
足	1339
工	1307
难	1306
体	1282
发	1263
命	1260
业	1257
穷	1250
方	1245
以	1239
见	1237
年	1235
色	1234
眼	1222
共	1209
石	1191
火	1177
耳	1174
十	1172
合	1160
玉	1153
身	1143
法	1141
及	1122
五	1121
教	1116
应	1110
通	1108
众	1104
长	1102
重	1100
二	1097
战	1090
遗	1086
老	1079
儿	1072
本	1061
资	1045
正	1041
立	1023
小	1021
四	1020
度	1011
计	1009
作	1001
龙	1001
青	998
骨	998
育	994
利	993
新	992
望	978
非	978
当	973
界	954
闻	953
满	949
争	946
光	938
东	934
市	934
反	932
交	928
若	928
落	920
两	914
实	910
顾	904
夫	903
空	901
和	893
所	878
军	870
变	868
书	866
定	863
首	858
惊	857
绝	854
胆	850
政	846
入	839
举	838
劳	838
乐	833
常	832
君	829
余	823
清	820
尽	818
制	816
深	814
士	811
视	803
解	802
用	802
才	800
形	793
私	793
后	789
代	788
场	787
春	783
语	780
笑	772
是	771
食	763
将	756
轻	751
势	750
断	744
俗	739
起	738
亡	737
德	736
冠	732
从	732
